Inventory ID,Department or Division,Dataset Name,Dataset Description,Data Classification,Value,Department Priority,Date Added to Inventory,Publishing Status,Dataset ID,Dataset Link,Date Published,Category,Publishing Approach,Update Frequency,field_names,monthly_views,days_since_data_update,days_overdue,data_last_changed_dt,data_processed_at,data_as_of,data_loaded_at
MTA-0129,Municipal Transportation Agency,Temporary Street Closures in the Work Zone Data Exchange (WZDx) Format,"This dataset contains upcoming and current permitted street and lane closures occurring as a result of the Shared Spaces program, certain special events, and some construction work. This dataset only includes street closures permitted by the San Francisco Municipal Transportation Agency (SFMTA). It doesn’t include street closures managed by other City departments such as Public Works or the Police Department. More details regarding these street closures can be found here.",Level 1 - Public,High,Priority 1,,Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-08-27T08:11:45Z,2026-01-18T19:13:25Z
REG-0028,Elections,BART Districts (2012),BART Districts in San Francisco,Level 1 - Public,Low,Priority 2,2016-06-14T00:00:00Z,Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
ADP-0019,Adult Probation,Service referral/client tracking spreadsheet,"Contains client referrals to APD-funded service providers, including client names, probation officer, referral date, and program.",Level 4 - Protected,Low,Priority 4,2015-04-30T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
MYR-0038,Mayor,Mortgage Credit Certificate Program (MCC) Data (Households),Borrower data for Mortgage Credit Certificate Program recipients,Level 3 - Sensitive,Medium,Priority 2,2015-04-30T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
RES-0010,Office of Resilience and Capital Planning,San Francisco Heat Vulnerability Index,"The San Francisco Department of Public Health Heat Health Vulnerability Index is a composite index that measures the spatial distribution and relative vulnerability of San Francisco communities to the health impacts of flood inundation and extreme storms. The index is constructed using socioeconomic and demographic, exposure, health, and housing indicators and is intended to serve as a planning tool for health and climate adaptation.",Level 1 - Public,High,Priority 2,2021-07-14T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-08-27T15:12:53Z,2026-01-18T19:13:25Z
ETH-0009,Ethics Commission,Annual Statement of Economic Interests (SEI) Form 700 - Non-Filers,"Historic data only. The Ethics Commission now posts the Non-Filers list annually on the website with a category tag of ""SEI"" https://sfethics.org/ethics/category/sei

San Francisco Campaign and Governmental Conduct Code Section 3.1-104(b) requires the Ethics Commission to publish a report by April 10 and May 10 each year to list the names of individuals who did not file their annual Statement of Economic Interests by the April 1 deadline and by May 1, respectively. This table provides the list of non-filers as of the non-filer report date. To view the current list of non-filers visit SEI disclosures database: http://public.netfile.com/pub/?aid=SFO",Level 1 - Public,High,Priority 1,2015-04-30T00:00:00Z,Published,un6s-gxbd,https://data.sfgov.org/d/un6s-gxbd,05/24/2017,City Management and Ethics,Manual,Not updated (historical only),"name, agency, type_of_filing, due_date, non_filer_report_date, notes",,1552,,2021-10-19T04:02:00Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
DPW-0013,Public Works,Utility Excavation Moratorium Streets,Street segments and intersections that have been paved within the last 5 years,Level 1 - Public,Medium,Priority 2,2015-04-30T00:00:00Z,Published,5wbp-dwzt,https://data.sfgov.org/d/5wbp-dwzt,08/03/2012,City Infrastructure,Automated,Daily,"cnn, streetname, limits, jobordernum, effectivedate, expirationdate, modifieddate, id, x, y, latitude, longitude, location, point, :@computed_region_jwn9_ihcz, :@computed_region_6qbp_sg9q, :@computed_region_qgnn_b9vv, :@computed_region_26cr_cadq, :@computed_region_ajp5_b2md",,5,4,2026-01-13T13:39:41Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
DBI-0022,Building Inspection,AVS Addresses,"<strong>A. SUMMARY</strong>
This dataset includes data from the Department of Building Inspection's Address Verification System (AVS). It includes data on addresses included as part of permit applications that are included in DBI's Permit Tracking System (PTS). The dataset also includes matched data from the Department of Technology's Enterprise Address System (EAS) where available.

<strong>B. HOW THE DATASET IS CREATED</strong>
The dataset is maintained by DBI based on addresses listed on permit applications. The addresses are also validated and updated with DT Enterprise Address System databases on an ongoing basis. 

<strong>C. UPDATE PROCESS</strong>
The dataset is automatically refreshed daily. 

<strong>D. HOW TO USE THIS DATASET</strong>
This dataset can be used to check and validate addresses used by DBI for building permit applications. The AVS predates DT's EAS so may contain some addresses that are not in the EAS. Where available EAS address IDs are included for each AVS address. AVS addresses also contain Assessor Parcel Numbers (APN or block-lot), however, these are not always sourced from the EAS and therefore may not match the EAS APN. Currently EAS does not include ""legacy addresses"" such as ""Embarcadero"" so these will not have an EAS ID.

<strong>E. RELATED DATASETS</strong>
<u><a href=""https://data.sfgov.org/Geographic-Locations-and-Boundaries/Addresses-Enterprise-Addressing-System/3mea-di5p/about_data"">Enterprise Address System</a></u>",Level 2 - Internal Use,,Unassigned,2023-03-23T00:00:00Z,Internal,,,,,,,"data_loaded_at, data_as_of, eas_parcel_id, eas_base_address_id, eas_address_id, delete_date, comments, end_date, valid, avs_structures_id, unit_sfx, unit, avs_street_status, avs_street_type, avs_street_sfx, avs_street_name, avs_street_suffixes_id, avs_streets_id, street_number_sfx, street_number, address_type, address_kind, structure_number, lot, block, id",,0,,2026-01-18T12:50:37Z,2026-01-18T00:00:00Z,2025-03-10T16:06:36Z,2026-01-18T19:13:25Z
DPH-0019,Public Health,ARCHIVED: COVID-19 Cases and Deaths Summarized by Geography,"<strong>A. SUMMARY</strong>
Medical provider confirmed COVID-19 cases and confirmed COVID-19 related deaths in San Francisco, CA aggregated by several different geographic areas and normalized by 2016-2020 American Community Survey (ACS) 5-year estimates for population data to calculate rate per 10,000 residents.

On September 12, 2021, a new case definition of COVID-19 was introduced that includes criteria for enumerating new infections after previous probable or confirmed infections (also known as reinfections). A reinfection is defined as a confirmed positive PCR lab test more than 90 days after a positive PCR or antigen test. The first reinfection case was identified on December 7, 2021.

Cases and deaths are both mapped to the residence of the individual, not to where they were infected or died. For example, if one was infected in San Francisco at work but lives in the East Bay, those are not counted as SF Cases or if one dies in Zuckerberg San Francisco General but is from another county, that is also not counted in this dataset.

Dataset is cumulative and covers cases going back to 3/2/2020 when testing began. 

Geographic areas summarized are:
1. <a href=""https://data.sfgov.org/Geographic-Locations-and-Boundaries/Analysis-Neighborhoods-2020-census-tracts-assigned/sevw-6tgi"">Analysis Neighborhoods</a>
2. <a href=""https://data.sfgov.org/Geographic-Locations-and-Boundaries/Census-2020-Tracts-for-San-Francisco/tmph-tgz9"">Census Tracts</a>
3. <a href=""https://www.census.gov/programs-surveys/geography/guidance/geo-areas/zctas.html"">Census Zip Code Tabulation Areas</a>

<strong>B. HOW THE DATASET IS CREATED</strong>
Addresses from medical data are geocoded by the San Francisco Department of Public Health (SFDPH). Those addresses are spatially joined to the geographic areas. Counts are generated based on the number of address points that match each geographic area. The 2016-2020 American Community Survey (ACS) population estimates provided by the Census are used to create a rate which is equal to <i>([count] / [acs_population]) * 10000)</i> representing the number of cases per 10,000 residents.

<strong>C. UPDATE PROCESS</strong>
Geographic analysis is scripted by SFDPH staff and synced to this dataset daily at 7:30 Pacific Time. 

<strong>D. HOW TO USE THIS DATASET</strong>
San Francisco population estimates for geographic regions can be found in a <a href=""https://data.sfgov.org/d/35v5-seg9"">view based on the San Francisco Population and Demographic Census dataset</a>. These population estimates are from the 2016-2020 5-year American Community Survey (ACS).

<em>Privacy rules in effect</em>
To protect privacy, certain rules are in effect:
1. Case counts greater than 0 and less than 10 are dropped - these will be null (blank) values
2. Death counts greater than 0 and less than 10 are dropped - these will be null (blank) values
3. Cases and deaths dropped altogether for areas where acs_population < 1000

<em>Rate suppression in effect where counts lower than 20</em>
Rates are not calculated unless the case count is greater than or equal to 20. Rates are generally unstable at small numbers, so we avoid calculating them directly. We advise you to apply the same approach as this is best practice in epidemiology.

<em>A note on Census ZIP Code Tabulation Areas (ZCTAs)</em>
ZIP Code Tabulation Areas are special boundaries created by the U.S. Census based on ZIP Codes developed by the USPS. They are not, however, the same thing. ZCTAs are areal representations of routes. <a href=""https://www.census.gov/programs-surveys/geography/guidance/geo-areas/zctas.html"">Read how the Census develops ZCTAs on their website</a>.

<em>Row included for Citywide case counts, incidence rate, and deaths</em>
A single row is included that has the Citywide case counts and incidence rate. This can be used for comparisons. Citywide will capture all cases regardless of address quality. While some cases cannot be mapped to sub-areas like Census Tracts, ongo",Level 4 - Protected,High,Priority 2,2020-06-30T00:00:00Z,Published,tpyr-dvnc,https://data.sfgov.org/d/tpyr-dvnc,05/29/2020,COVID-19,Automated,Not updated (historical only),"area_type, id, count, count_last_60_days, rate, deaths, acs_population, max_specimen_collection_date, data_as_of, data_loaded_at, multipolygon",,860,,2023-09-11T12:07:46Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
DSF-0009,GSA - City Administrator's Office,Supervisor District (2022) to ZIP Code Crosswalk,"<strong>A. SUMMARY</strong>
This dataset contains the list of intersecting <u><a href=""https://data.sfgov.org/d/f2zs-jevy"">2022 Supervisor Districts</a></u> and <u><a href=""https://data.sfgov.org/d/srq6-hmpi"">ZIP Codes</a></u> for the City and County of San Francisco. It can be used to identify which ZIP codes overlap with Supervisor Districts (2022) and vice verse.

<strong>B. HOW THE DATASET IS CREATED</strong>
The dataset was created with a spatial join between the 2022 Supervisor districts and ZIP codes. 

<strong>C. UPDATE PROCESS</strong>
This is a static dataset 

<strong>D. HOW TO USE THIS DATASET</strong>
This dataset is a many-to-many relationship between supervisor districts and ZIP codes. A single supervisor district can contain or intersect with multiple ZIP codes and similarly, a single ZIP code can be in multiple supervisor districts. This dataset does not contain geographic boundary data (i.e. shapefiles/ GEOMs). The datasets below containing geographic boundary data should be used for analysis of data with geographic coordinates.

<strong>E. RELATED DATASETS</strong>
<u><a href=""https://data.sfgov.org/d/f2zs-jevy"">Supervisor Districts (2022)</a></u>
<u><a href=""https://data.sfgov.org/d/srq6-hmp"">San Francisco ZIP Codes</a></u>
<u><a href=""https://data.sfgov.org/d/v22h-ujnv"">Supervisor District (2012) to ZIP Code Crosswalk</a></u>
<u><a href=""https://data.sfgov.org/d/sevw-6tgi"">Analysis Neighborhoods - 2020 census tracts assigned to neighborhoods</a></u>",Level 1 - Public,Medium,Priority 2,,Published,2x22-z5j6,https://data.sfgov.org/d/2x22-z5j6,06/21/2023,Geographic Locations and Boundaries,Manual,Not updated (historical only),"sup_dist, zip_code, data_loaded_at, data_as_of",59,940,,2023-06-23T18:27:01Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
CON-0034,Controller,Nonprofit Wage and Equity Survey - Position-Level Cohort Data - FY23,"<strong>A. SUMMARY</strong>
This dataset is a cleaned and anonymized version of survey data gathered in FY23 from nonprofits who contract with the City and County of San Francisco. Each row is one employee (representing one filled position), and data includes wages, position detail, position requirements, and demographic information as supplied by the person's employing organization. 

<strong>B. HOW THE DATASET IS CREATED</strong>
This dataset was generated through conducting a two-tiered survey gathering data on organizational characteristics and position-level data from nonprofits who contract with the City and County of San Francisco in FY23. The survey was fielded in October and November of 2022. 152 nonprofits provided organizational-level data and summary data about their workforce. 29 of those organizations (referred to as ""Cohort Organizations"") provided additional position-level wage, demographic, and position-requirement data for each worker employed by their organization. This dataset includes position-level data from the cohort organizations. For further details on survey methodology, please review page 39 of the Nonprofit Wage and Equity Survey report, linked below in ""Related Reports.""

<strong>C. UPDATE PROCESS</strong>
Data is a one-time survey and will not update.

<strong>D. HOW TO USE THIS DATASET</strong>
Review code book, attached in the ""About this Dataset"" section. 

<strong>E. RELATED REPORTS</strong>
This dataset informs the Nonprofit Wage and Equity Survey Report, released by the Controller's Office in April 2023. <u><a href=""https://sf.gov/sites/default/files/2023-04/Nonprofit%20Wage%20and%20Equity%20Survey%20Report%204.25.23.pdf"">Nonprofit Wage and Equity Survey</a></u>

<strong>F. RELATED DATASETS</strong>
 This dataset is one of two datasets of survey data from the Nonprofit Wage and Equity Survey (FY23). Organization-level data can be viewed on the Open Data Portal. 
<u><a href=""https://data.sfgov.org/City-Management-and-Ethics/Nonprofit-Wage-and-Equity-Survey-Organization-Leve/u7aq-9xrd"">Nonprofit Wage and Equity Survey - Organization-Level Survey Data - FY23
</a></u>",Level 1 - Public,Medium,Priority 2,2023-06-28T00:00:00Z,Published,jsip-bbxj,https://data.sfgov.org/d/jsip-bbxj,06/28/2023,City Management and Ethics,Manual,Not updated (historical only),"record_id, jobcategory, jobcat_miscdirect_subcat, jobcatgen, fte, hourlywage, wage_range, benefits, raceethnicity, gender, age_range, sexualorientation, reqadvdegree, reqbilingual, reqhours, org_primeservicearea, org_orgsize2, data_as_of, data_loaded_at",,934,,2023-06-29T20:44:02Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
MTA-0047,Municipal Transportation Agency,Bicycle Loop Counters,"<strong>A. SUMMARY </strong>
Point features that represent the location of proposed, active, and non-functioning bicycle loop counters in San Francisco

<strong>B. METHODOLOGY  </strong>
N/A

<strong>C. UPDATE FREQUENCY  </strong>
Annually",Level 1 - Public,Medium,Priority 2,2015-04-30T00:00:00Z,Published,7j2t-hunp,https://data.sfgov.org/d/7j2t-hunp,04/16/2019,Transportation,Automated,As needed,"location, created_user, created_date, last_edited_user, last_edited_date, lat, lon, notes, globalid, identifier, shape, :@computed_region_6qbp_sg9q, :@computed_region_qgnn_b9vv, :@computed_region_26cr_cadq, :@computed_region_ajp5_b2md, :@computed_region_jwn9_ihcz, data_loaded_at, supervisor_district, counter, data_as_of, analysis_neighborhood, cnn_block, objectid, cnn_node, install_date",,1,,2026-01-17T18:22:37Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
MTA-0075,Municipal Transportation Agency,Stop Signs,"A. SUMMARY 
Stop signs located at each intersection node.

B. METHODOLOGY  
Stop sign legislation information is taken from MTAB legislation. Stop sign implementation information is taken from SSD Shops Reports and then parsed via python code. Implementation for stop signs will specify where signs are installed or removed, and the work order that the sign installation/removal was spec'd in. 

C. UPDATE FREQUENCY  
Updated four times a year at the end of each quarter.",Level 1 - Public,Medium,Priority 2,2015-11-08T00:00:00Z,Published,4542-gpa3,https://data.sfgov.org/d/4542-gpa3,04/24/2019,Transportation,Automated,Quarterly,"street, x_street, direction, st_facing, dist, cnn, concatenat, date_added, mtab_date, mtab_reso_text, mtab_motion, status, workorder, install_date, shape, :@computed_region_jwn9_ihcz, :@computed_region_6qbp_sg9q, :@computed_region_qgnn_b9vv, :@computed_region_26cr_cadq, :@computed_region_ajp5_b2md, supervisor_district, analysis_neighborhood, data_as_of, objectid, data_loaded_at",,1,,2026-01-17T18:21:36Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
FIR-0001,Fire Department,Fire Incidents,"<strong>Note 3/27/2024: This data pipeline was recently updated to improve data quality and efficiency. Incidents outside of SF city boundaries will no longer be assigned a supervisor_district and neighborhood_district. </strong>

Fire Incidents includes a summary of each (non-medical) incident to which the SF Fire Department responded. Each incident record includes the call number, incident number, address, number and type of each unit responding, call type (as determined by dispatch), prime situation (field observation), actions taken, and property loss.",Level 1 - Public,High,Priority 1,2015-04-30T00:00:00Z,Published,wr8u-xric,https://data.sfgov.org/d/wr8u-xric,12/18/2015,Public Safety,Automated,Daily,"exposure_number, id, address, call_number, city, zipcode, battalion, station_area, box, suppression_units, suppression_personnel, ems_units, ems_personnel, other_units, other_personnel, first_unit_on_scene, estimated_property_loss, estimated_contents_loss, fire_fatalities, fire_injuries, civilian_fatalities, civilian_injuries, number_of_alarms, primary_situation, mutual_aid, action_taken_primary, action_taken_secondary, action_taken_other, detector_alerted_occupants, property_use, area_of_fire_origin, ignition_cause, ignition_factor_primary, ignition_factor_secondary, heat_source, item_first_ignited, human_factors_associated_with_ignition, structure_type, structure_status, floor_of_fire_origin, fire_spread, no_flame_spread, number_of_floors_with_minimum_damage, number_of_floors_with_significant_damage, number_of_floors_with_heavy_damage, number_of_floors_with_extreme_damage, detectors_present, detector_type, detector_operation, detector_effectiveness, detector_failure_reason, automatic_extinguishing_system_present, automatic_extinguishing_sytem_type, automatic_extinguishing_sytem_perfomance, automatic_extinguishing_sytem_failure_reason, number_of_sprinkler_heads_operating, supervisor_district, neighborhood_district, point, data_as_of, close_dttm, incident_number, arrival_dttm, alarm_dttm, incident_date, data_loaded_at",33988,0,,2026-01-18T10:41:20Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
ENV-0016,Environment,Rodent control by citywide contractor,"<strong>A. SUMMARY</strong>
This database lists records of rodent treatments primarily in the City's combined sewer system. The data is collected and submitted by the current holder of the Citywide Integrated Pest Management contract. Rodent treatments are listed by location and by number of products used. These data will be linked with other public data to provide informational tools in support of the City's Integrated Pest Management (IPM) Program and Vector Control Program, administered by the Department of the Environment and Department of Public Health, respectively. Providing public access to such data is in keeping with the record-keeping and transparency requirements of the IPM Ordinance, Environment Code, Chapt. 3.

<li>For more information on San Francisco's IPM program, see https://www.sfenvironment.org/what-integrated-pest-management-ipm 
<li>For information on the City's Vector Control Program, see https://www.sf.gov/get-help-vermin-your-building
<li>For more information on data set data custodian, see https://www.civichub.us/ca/sf/open-data

<strong>B. HOW THE DATASET IS CREATED</strong>
The data is collected and submitted by the current holder of the Citywide Integrated Pest Management contract. Data is collected by the field technicians and added to a service database from there the data is being published to the SF Open Data portal.

<strong>C. UPDATE PROCESS</strong>
This feed is updated daily and reflects service and product application from the previous calendar day.",Level 1 - Public,Medium,Priority 2,2018-11-19T00:00:00Z,Published,pyt2-uhqw,https://data.sfgov.org/d/pyt2-uhqw,01/08/2019,City Infrastructure,Automated,Daily,"cnn, node_id, bait_applied, blocks_applied, blocks_consumed, serviced_date, point, data_loaded_at, data_as_of",,0,,2026-01-18T01:03:43Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
BOS-0013,Board of Supervisors,Behested Payments Waivers,"<strong>A. SUMMARY</strong>
Campaign and Governmental Conduct Code - Behested Payments Exceptions<br>
Ordinance amending the Campaign and Governmental Conduct Code to modify the rules concerning behested payment solicitations, by 1) excepting solicitations made under certain types of City programs to solicit, request, and contractually obligate charitable donations through competitively procured contracts; 2) narrowing the prohibition against soliciting from persons involved in administrative enforcement, licenses, permits, or other entitlements for use; 3) narrowing the prohibition against soliciting from persons who have attempted to influence legislative or administrative actions; 4) excepting solicitations made in connection with certain types of City contracts; 5) shortening the time periods for the prohibition as to solicitations from City contractors; 6) excepting payments less than $1,000; 7) authorizing the Board of Supervisors to grant waivers by resolution; 8) expanding the prohibition against soliciting from registered lobbyists; and 9) making other clarifying changes.

<strong>B. HOW THE DATASET IS CREATED</strong>
When a resolution for a Behested Payment Waiver  is adopted by the Board of Supervisors and the Mayor it will be added to the dataset.

<strong>C. UPDATE PROCESS</strong>
The dataset will be manually updated when a resolution for a Behested Payment Waiver  is adopted by the Board of Supervisors and the Mayor.

<strong>D. HOW TO USE THIS DATASET</strong>
Click on the attachment line to open a PDF copy of the resolution.",Level 1 - Public,Medium,Priority 2,,Published,8w9a-q5s8,https://data.sfgov.org/d/8w9a-q5s8,07/13/2023,City Management and Ethics,Automated,As needed,"agency, subject, payor, file_number, enactment_number, date_of_waiver_approval, attachment, date_uploaded, data_as_of, data_loaded_at, legislation_type",50,0,,2026-01-18T14:07:31Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
CHF-0011,Children Youth & Their Families,Our415 Events and Activities,"<strong>A. SUMMARY</strong>
San Francisco offers numerous events and activities tailored for children, youth, and families. However, finding and navigating the disparate sources of information can be a major challenge. <u><a href=""Our415.org"">Our415.org</a></u> seeks to simplify this by consolidating all relevant details, ensuring that families can easily find what they need, when they need it. It also encourages discovery of new interests and things to do. This dataset compiles current and upcoming events and activities in San Francisco for children, youth, and their families.

<strong>B. HOW THE DATASET IS CREATED</strong>
This dataset is a consolidation of multiple datasets from contributing City agencies and departments as well as Community Based Organizations. Currently, the information in the dataset is sourced from Rec Park’s activities catalog, SF Public Library’s events calendar, Department of Early Childhood’s family events calendar, and Support for Families' family events calendar. Rec Park activities include any “Open” activities appropriate for ages 0-24, and SF Public Library, Department of Early Childhood, and Support for Families events include events going into the next month.

<strong>C. UPDATE PROCESS</strong>
The dataset will be updated on a daily basis, reflecting changes to the source data.

<strong>D. HOW TO USE THIS DATASET</strong>
Taxonomy related fields and eligibility fields are either AI-determined or assigned through a DCYF-created crosswalk. These values are determined for the purposes of categorization and search functionality on Our415.org. Use with caution - errors may exist.",Level 1 - Public,High,Priority 1,2025-03-26T00:00:00Z,Published,8i3s-ih2a,https://data.sfgov.org/d/8i3s-ih2a,04/11/2025,Economy and Community,Automated,Daily,"id, org_name, event_name, event_description, event_start_date, event_end_date, days_of_week, start_time, end_time, more_info, fee, admission_price, site_location_name, event_photo, category, subcategory, age_group_eligibility_tags, race_ethnicity_eligibility_tags, special_needs_eligibility_tags, sogi_eligibility_tags, language_eligibility_tags, site_address, site_phone, site_email, latitude, longitude, point, analysis_neighborhood, supervisor_district, data_as_of, data_loaded_at, events_category",,0,,2026-01-18T15:04:43Z,2026-01-18T00:00:00Z,2025-12-11T16:45:39Z,2026-01-18T19:13:25Z
TIS-0117,Technology,USGS digital elevation model (25cm resolution),,Level 1 - Public,Medium,Priority 3,2025-08-30T00:00:00Z,In Progress,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-09-24T09:51:28Z,2026-01-18T19:13:25Z
ADM-0026,City Administrator’s Office,MOD Plan Review Logs,"Excel spreadsheet tracks architectural access projects (permits, fees, unit counts) to evaluate turn around times and performance measures",Level 3 - Sensitive,Medium,Priority 2,2015-06-01T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
MYR-0059,Mayor,Displaced Tenant Housing Preference Program Household Data (Households),"Data on households that have been displaced through the Ellis Act, Owner Move In Evictions, and fires and have applied for housing preference",Level 3 - Sensitive,High,Priority 2,2017-07-02T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
MYR-0050,Mayor,Residential Projects with Inclusionary Requirements as of 2015 Q1,"Subject to Planning Code Section 415 (http://bit.ly/1ag0AmP), developments of 10 or more units fall under the City's Inclusionary Affordable Housing Program. Data on residential projects are collected through the lifecycle of the projects by the Planning Department and the Department of Building Inspection. On a monthly basis, the Mayor's Office of Housing and Community Development works with Planning to produce a list for tracking and monitoring of these projects.",Level 1 - Public,High,Priority 1,2017-07-02T00:00:00Z,Internal,,,,,,,,,3814,3724,2015-08-10T04:22:39Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
ADP-0003,Adult Probation,Active client address - monthly (ctag),"Contains most recent address entries, by address type (residential, business, mail, etc) for each active client at time report is run",Level 4 - Protected,High,Priority 2,2015-04-30T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
REC-0004,Recreation and Parks,"Employees, positions, and appointments",The sources of this data are inputs by HR personnel and enterprise Peoplesoft data,Level 2 - Internal Use,Medium,Priority 3,2025-12-10T00:00:00Z,Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-12-10T17:14:01Z,2026-01-18T19:13:25Z
BOS-0012,Board of Supervisors,BCMCI Database,Data related to Board appointed positions and vacancies on Boards and Commissions,Level 1 - Public,Low,Priority 2,2015-04-30T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
TIS-0020,Technology,Orthophoto mosaic of San Francisco proper (2011) - 6 inch per pixel (zipped MrSID format),Orthophoto mosaic of San Francisco proper (2011) - 6 inch per pixel (zipped MrSID format),Level 1 - Public,Medium,Priority 2,2015-04-30T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
DPH-0003,Public Health,Community Resiliency Indicator System,"The Community Resiliency Indicator System was developed by  San Francisco's Climate and Health Program and is part of San Francisco's Climate and Health Profile. The system includes 40 indicators and an additive index which is a compilation of all of the indicators. See attached methods and project description documents for more details, you can also visit San Francisco's Climate and Health Profile website - www.sfclimatehealth.org (available Feb-2015)",Level 1 - Public,High,Priority 1,2015-11-03T00:00:00Z,Published,banc-xdvr,https://data.sfgov.org/d/banc-xdvr,01/23/2015,Health and Social Services,,As needed,"neighborhood, flood_per, heat_per, liq_per, haz_score, imp_per, tree_per, pm_conc, tox_per, env_score, at_min, ptrans_sco, trans_sco, vcrim_rate, vot_rate, newsf_per, citz_per, eng_per, com_score, food_score, hs_per, pharm_per, pr_score, lival_per, eldlival_per, oc_per, viol_rate, ac_per, rent_per, house_score, emp_per, ec_score, shelt_rate, sheltday_rate, dis_per, prevhos, health_score, over85_per, over65_per, under18_per, under5_per, nonwhi_per, lat_per, black_per, asian_per, pov_per, popdens, daypopdens, dem_score, res_score, res_rank",,4013,,2015-01-23T01:29:53Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
AIR-0068,Airport (SFO),Aircraft Noise Climates,"<strong>A. SUMMARY</strong>
San Francisco International Airport (SFO) keeps track of aircraft noise levels in communities around the airport 24/7. Measured aircraft noise events are used in calculations to determine Aircraft Community Noise Equivalent Level (CNEL). This noise metric is used to assess and regulate aircraft noise exposure in residential communities surrounding the airport. The annual Aircraft CNEL helps validate the 65‐decibel noise impact contour, an output of computer noise modeling.

<strong>B. HOW THE DATASET IS CREATED</strong>
This dataset consists of measured aircraft noise events at each of SFO’s 29 community noise monitoring sites. Also provided as part of this dataset is ANEEM Aircraft CNEL. This aircraft climate is derived using ANEEM algorithms that can measure quieter aircraft noise levels below that of conventional threshold correlation methodology resulting in improved noise to aircraft correlations.

<strong>C. UPDATE PROCESS</strong>
Data is available starting in March 2017. Aircraft climates derived using ANEEM algorithms are available starting January 2023. This dataset will be updated on a monthly basis.

<strong>D. HOW TO USE THIS DATASET</strong>
This information is used to produce the monthly Aircraft Noise Levels section on page 1 of the Airport Director’s Report. These reports are presented at the SFO Airport Community Roundtable Meetings and available online at https://www.flysfo.com/about/community-noise/noise-office/reports/airport-directors-report

Please contact the Noise Abatement Office at NoiseAbatementOffice@flysfo.com for any questions regarding this data.

Date created: June 27, 2023",Level 1 - Public,Medium,Priority 2,2023-06-01T00:00:00Z,Published,qxw2-ncq3,https://data.sfgov.org/d/qxw2-ncq3,05/25/2023,Transportation,Automated,Monthly,"date, location, longitude, latitude, elevation, sfo_leq_count, sfo_cnel, non_sfo_leq_count, non_sfo_cnel, aircraft_leq_count, aircraft_cnel, community_leq_count, community_cnel, total_cnel, uptime, aircraft_cnel_aneem, point, data_as_of, data_loaded_at, :@computed_region_ajp5_b2md, :@computed_region_26cr_cadq, :@computed_region_6qbp_sg9q, location_id",,40,10,2025-12-09T14:38:56Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
